wins,wins_by_sub,losses,losses_by_sub,opponent_wins,opponent_wins_by_sub,opponent_losses,opponent_losses_by_sub,wins_vs_opponent,wins_vs_opponent_by_sub,losses_vs_opponent,losses_vs_opponent_by_sub,result
22,14,10,2,243,135,49,22,1,1,3,1,3
22,14,10,2,130,63,19,5,0,0,3,1,3
22,14,10,2,243,135,49,22,1,1,3,1,3
22,14,10,2,81,13,42,6,0,0,1,0,3
22,14,10,2,130,63,19,5,0,0,3,1,3
22,14,10,2,130,63,19,5,0,0,3,1,2
22,14,10,2,77,21,21,4,0,0,1,0,3
22,14,10,2,74,39,41,20,0,0,1,0,3
22,14,10,2,243,135,49,22,1,1,3,1,2
22,14,10,2,71,19,10,2,0,0,1,0,3
22,14,10,2,128,41,47,11,1,0,0,0,1
22,14,10,2,146,44,62,22,2,2,0,0,0
22,14,10,2,53,25,38,12,1,0,0,0,1
22,14,10,2,11,2,9,2,1,0,0,0,1
22,14,10,2,146,44,62,22,2,2,0,0,0
22,14,10,2,243,135,49,22,1,1,3,1,0
40,28,25,10,101,31,52,20,1,0,1,0,3
40,28,25,10,157,73,27,4,0,0,3,3,2
40,28,25,10,53,25,38,12,0,0,1,0,3
40,28,25,10,50,33,29,7,0,0,1,1,2
40,28,25,10,157,73,27,4,0,0,3,3,2
40,28,25,10,111,55,29,2,0,0,1,1,2
40,28,25,10,157,73,27,4,0,0,3,3,2
40,28,25,10,95,49,26,10,0,0,2,2,2
40,28,25,10,67,23,21,2,0,0,2,1,3
40,28,25,10,56,7,40,6,0,0,1,0,3
40,28,25,10,115,39,71,10,0,0,1,0,3
40,28,25,10,182,113,34,3,0,0,1,0,3
40,28,25,10,77,21,21,4,0,0,1,0,3
40,28,25,10,95,49,26,10,0,0,2,2,2
40,28,25,10,128,41,47,11,0,0,1,0,3
40,28,25,10,60,40,58,26,0,0,1,0,3
40,28,25,10,67,23,21,2,0,0,2,1,2
40,28,25,10,51,20,20,8,0,0,1,1,2
40,28,25,10,89,37,35,10,0,0,1,0,3
40,28,25,10,74,25,33,8,0,0,1,0,3
40,28,25,10,67,19,46,15,0,0,1,0,3
40,28,25,10,23,7,18,5,0,0,1,0,3
40,28,25,10,41,15,19,4,0,0,1,1,2
40,28,25,10,57,17,25,5,1,1,1,0,3
40,28,25,10,89,37,41,10,1,0,1,0,3
40,28,25,10,156,83,61,6,1,1,0,0,0
40,28,25,10,13,2,6,0,1,0,0,0,1
40,28,25,10,101,31,52,20,1,0,1,0,1
40,28,25,10,77,14,57,15,1,1,0,0,0
40,28,25,10,74,39,41,20,1,0,0,0,1
40,28,25,10,17,5,37,8,1,0,0,0,1
40,28,25,10,72,41,46,19,1,1,0,0,0
40,28,25,10,57,17,25,5,1,1,1,0,0
40,28,25,10,89,37,41,10,1,0,1,0,1
40,28,25,10,66,51,30,10,1,0,0,0,1
40,28,25,10,65,43,53,21,1,1,0,0,0
40,28,25,10,101,23,43,11,1,1,0,0,0
65,43,53,21,27,21,19,15,0,0,1,1,2
65,43,53,21,57,17,25,5,0,0,2,0,3
65,43,53,21,23,7,18,5,0,0,1,0,3
65,43,53,21,40,28,25,10,0,0,1,1,2
65,43,53,21,157,73,27,4,0,0,1,1,2
65,43,53,21,95,49,26,10,0,0,1,1,2
65,43,53,21,89,37,35,10,0,0,2,2,2
65,43,53,21,77,22,31,10,0,0,1,0,3
65,43,53,21,18,11,16,1,0,0,1,1,2
65,43,53,21,77,21,21,4,0,0,2,0,3
65,43,53,21,57,17,25,5,0,0,2,0,3
65,43,53,21,81,13,42,6,0,0,1,0,3
65,43,53,21,74,25,33,8,0,0,1,0,3
65,43,53,21,182,113,34,3,0,0,3,1,3
65,43,53,21,77,14,57,15,1,1,3,0,3
65,43,53,21,166,47,52,4,0,0,1,0,3
65,43,53,21,89,37,35,10,0,0,2,2,2
65,43,53,21,253,52,35,9,0,0,1,1,2
65,43,53,21,89,37,41,10,0,0,2,2,2
65,43,53,21,92,24,40,2,0,0,1,0,3
65,43,53,21,80,64,5,1,1,0,2,2,2
65,43,53,21,43,36,14,3,0,0,2,2,2
65,43,53,21,51,20,20,8,0,0,1,0,3
65,43,53,21,182,113,34,3,0,0,3,1,2
65,43,53,21,41,15,19,4,0,0,1,0,3
65,43,53,21,42,26,21,5,2,1,2,1,3
65,43,53,21,77,14,57,15,1,1,3,0,3
65,43,53,21,77,14,57,15,1,1,3,0,3
65,43,53,21,42,26,21,5,2,1,2,1,2
65,43,53,21,52,28,26,6,0,0,1,0,3
65,43,53,21,90,12,56,7,0,0,1,0,3
65,43,53,21,40,10,29,8,0,0,1,0,3
65,43,53,21,48,10,33,4,0,0,1,0,3
65,43,53,21,63,20,31,19,0,0,2,0,3
65,43,53,21,77,21,21,4,0,0,2,0,3
65,43,53,21,182,113,34,3,0,0,3,1,3
65,43,53,21,83,18,39,15,0,0,1,0,3
65,43,53,21,87,28,12,4,0,0,1,0,3
65,43,53,21,89,37,41,10,0,0,2,2,2
65,43,53,21,43,36,14,3,0,0,2,2,2
65,43,53,21,63,16,29,7,0,0,1,0,3
65,43,53,21,63,20,31,19,0,0,2,0,3
65,43,53,21,60,40,58,26,0,0,1,0,3
65,43,53,21,138,72,14,4,0,0,1,0,3
65,43,53,21,11,6,2,0,0,0,2,0,3
65,43,53,21,11,6,2,0,0,0,2,0,3
65,43,53,21,22,9,8,0,0,0,1,1,2
65,43,53,21,80,64,5,1,1,0,2,2,2
65,43,53,21,80,64,5,1,1,0,2,2,1
65,43,53,21,42,26,21,5,2,1,2,1,1
65,43,53,21,12,4,8,2,1,0,0,0,1
65,43,53,21,48,19,27,11,1,1,0,0,0
65,43,53,21,77,14,57,15,1,1,3,0,0
65,43,53,21,146,44,62,22,2,2,0,0,0
65,43,53,21,42,33,24,11,1,0,0,0,1
65,43,53,21,12,7,7,4,1,0,0,0,1
65,43,53,21,17,8,16,4,1,1,0,0,0
65,43,53,21,42,26,21,5,2,1,2,1,0
65,43,53,21,146,44,62,22,2,2,0,0,0
